Date,BTC,ETH,XRP,LTC,EOS,ADA,DOGE,TRX,XLM,ZEC,ZRX,ETC,VET,DASH,IOTA,NEO,QTUM,KNC,MANA,XMR,BNB,ICX,LINK,ATOM,ALGO,BAT,OMG,REP,ARDR,SNT,BTS
2019/7/25,"9,945.30",217.65,0.31333,93.246,4.5657,0.058495,0.002949,0.022993,0.08553,69.94,0.23409,6.0052,0.005852,114.95,0.30399,11.9304,3.0777,0.18608,0.0417,80.903,28.92,0.27788,2.37,3.8013,0.6102,0.23388,1.6888,11.42,0.06888,0.020986,0.04459
2019/7/26,"9,831.00",217.83,0.32336,94.006,4.6139,0.062614,0.00295,0.023134,0.08855,71.27,0.2346,6.1985,0.005937,114.98,0.30044,11.9697,3.103,0.19407,0.0422,80.314,28.88,0.27966,2.4,3.887,0.6503,0.2617,1.6828,11.52,0.07007,0.021058,0.04519
2019/7/27,"9,492.10",206.62,0.30993,88.803,4.2777,0.059899,0.002863,0.021969,0.08453,69.21,0.22348,5.9372,0.005695,110.63,0.2874,11.3775,2.8974,0.1823,0.0411,78.834,27.7,0.2634,2.25,3.6182,0.5788,0.2708,1.5809,11.11,0.0702,0.020065,0.0433
2019/7/28,"9,727.80",210.37,0.3117,89.8,4.2675,0.059343,0.002869,0.022305,0.08391,68.61,0.22705,5.8969,0.005646,108.31,0.28417,11.2225,2.9022,0.18892,0.0413,80.284,27.72,0.25865,2.22,3.6157,0.5759,0.25706,1.5313,11.12,0.07116,0.020067,0.0439
2019/7/29,"9,580.90",209.82,0.31016,90.376,4.214,0.060433,0.002838,0.02202,0.08358,67.42,0.22271,5.9334,0.005579,105.86,0.28341,11.2739,2.8861,0.21386,0.0412,78.198,27.03,0.25552,2.13,3.5951,0.571,0.25339,1.5233,11.17,0.06906,0.019998,0.04459
2019/7/30,"9,580.70",208.49,0.31819,90.174,4.1979,0.059815,0.00277,0.022086,0.08349,66.62,0.22374,5.9256,0.00553,104.76,0.28492,11.2367,2.8807,0.19928,0.0406,78.216,26.94,0.25481,2.06,3.5975,0.5667,0.24599,1.5392,11.7,0.06957,0.020919,0.04371
2019/7/31,"10,082.00",217.23,0.31966,98.781,4.4181,0.060049,0.002897,0.022396,0.08411,67.98,0.22416,6.0491,0.005603,108.71,0.29056,11.7124,3.063,0.19167,0.0407,80.642,27.73,0.26626,2.21,3.65,0.5668,0.24692,1.585,11.51,0.07124,0.021623,0.04513
2019/8/1,"10,380.00",216.37,0.31565,98.667,4.3003,0.058639,0.002929,0.022107,0.08287,67.53,0.21968,5.9527,0.00541,107.09,0.28802,11.8517,3.0238,0.18411,0.0399,82.05,28.69,0.25031,2.16,3.539,0.5602,0.2364,1.5434,11.07,0.06981,0.021319,0.04479
2019/8/2,"10,520.10",216.54,0.31163,94.768,4.1811,0.057382,0.002914,0.021716,0.08202,66.61,0.21566,5.8796,0.005481,105.04,0.28758,11.6642,2.9997,0.18547,0.0403,84.039,28.1,0.24863,2.43,3.6485,0.8094,0.23606,1.531,11.1,0.06621,0.020989,0.04451
2019/8/3,"10,815.70",220.89,0.31601,94.192,4.2888,0.057739,0.002922,0.021828,0.08237,65.06,0.21572,5.8816,0.00548,106.63,0.28304,12.0918,3.0449,0.18342,0.0403,87.967,27.74,0.23992,2.41,3.6882,0.7438,0.23479,1.5319,11.1,0.06634,0.020345,0.0445
2019/8/4,"10,934.60",220.72,0.31831,92.701,4.2168,0.056116,0.002938,0.022297,0.08194,65.77,0.21232,6.0938,0.005317,105.97,0.28411,11.8769,3.0148,0.18518,0.0392,87.814,27.38,0.23787,2.51,3.5967,0.7019,0.23586,1.5257,10.88,0.0707,0.020708,0.04431
2019/8/5,"11,816.80",232.45,0.32211,96.504,4.4581,0.056473,0.003047,0.022898,0.08243,66.77,0.21246,6.1724,0.005231,110.21,0.29114,12.0155,3.0899,0.18498,0.0387,93.549,27.97,0.2392,2.46,3.7738,0.791,0.23385,1.5475,11.76,0.07335,0.020515,0.04571
2019/8/6,"11,480.90",225.63,0.31193,93.049,4.1904,0.05354,0.002952,0.02172,0.07842,62.55,0.19889,5.8741,0.004872,106.58,0.27887,11.3508,2.9301,0.17241,0.0385,89.708,27.65,0.23124,2.47,3.5652,0.7027,0.21812,1.4717,11.01,0.06376,0.020157,0.04461
