Date,BTC,trend,ETH,XRP,LTC,EOS,ADA,DOGE,TRX,XLM,ZEC,ZRX,ETC,VET,DASH,IOTA,NEO,QTUM,KNC,MANA,XMR,BNB,ICX,LINK,XEM,ONT,BAT,OMG,REP,ARDR,SNT,BTS
2018/2/2,"8,893.20",1,920.85,0.8993,131.625,10.2983,0.4,0.004566,0.042145,0.41505,387.07,1.3168,23.3093,4.921161,595.4,1.80681,107.0302,30.8043,3.429,0.0939,236.979,9.75,5.31605,0.49,0.61115,0.3272,0.41032,13.1716,58.14,0.54115,0.179971,0.3272
2018/2/3,"9,241.10",1,971.49,0.95978,160.974,10.6134,0.464,0.00515,0.04552,0.44756,390.51,1.38353,24.3245,5.512552,639.93,2.00534,93.1437,31.008,3.85794,0.1019,252.691,9.75,5.36735,0.51,0.64503,0.34,0.44234,13.989,61.31,0.53358,0.211999,0.34
2018/2/4,"8,222.20",1,829.43,0.81795,147.886,8.9385,0.382002,0.00441,0.038457,0.37546,347.49,1.15851,20.8816,4.523815,549.1,1.73602,82.1182,26.1488,3.33332,0.0999,219.866,8.4,4.25971,0.44,0.56472,0.268,0.38845,11.5233,50.24,0.42702,0.208263,0.268
2018/2/5,"6,938.50",0,696.86,0.68132,125.292,7.0812,0.317,0.003547,0.03052,0.32367,305.72,0.82335,16.5391,3.546982,455.15,1.44008,73.1588,20.0488,2.59386,0.07,180.521,6.7,3.04852,0.4,0.45462,0.2011,0.3,9.1407,43.01,0.35073,0.184707,0.2011
2018/2/6,"7,701.20",0,783.83,0.76185,142.219,8.2833,0.359,0.00442,0.036544,0.36328,368.05,1.0159,19.1816,4.232008,523.71,1.59031,96.9884,23.4312,3.02054,0.089,209.201,8.25,4.40265,0.42,0.52451,0.2234,0.35027,11.2795,47.06,0.38915,0.211164,0.2234
2018/2/7,"7,594.70",0,753.18,0.71781,137.993,7.6936,0.331,0.004222,0.032882,0.33171,354.21,1.00043,18.1491,3.878076,522.64,1.58697,91.6334,21.4401,2.81667,0.0955,205.708,8.11,3.80275,0.38,0.51246,0.2133,0.33794,10.8216,46.99,0.3635,0.205069,0.2133
2018/2/8,"8,164.20",1,805.4,0.78213,148.903,8.3581,0.345,0.00458,0.037614,0.35314,439.69,1.083,21.7247,4.274409,608.94,1.76361,97.1121,25.7232,3.07654,0.1084,247.974,8.28,5.14112,0.42,0.54018,0.2345,0.37383,12.1788,51.53,0.39675,0.2084,0.2345
2018/2/9,"8,699.80",1,877.85,0.92043,163.998,9.5095,0.3765,0.005028,0.046846,0.39192,473.75,1.14354,25.7209,4.633827,637.38,1.9311,84.282,30.1082,3.30111,0.1221,258.173,8.28,4.48703,0.44,0.60443,0.2609,0.39037,13.0647,56.45,0.49743,0.224265,0.2609
2018/2/10,"8,559.60",1,851.39,1.02892,155.029,8.9259,0.381,0.005018,0.047877,0.38862,481.71,1.08581,24.0958,4.379604,633.52,1.83273,88.4636,28.5926,3.1588,0.1142,247.067,9.24,4.05612,0.41,0.56677,0.2469,0.36152,12.2693,53.98,0.50655,0.223506,0.2469
2018/2/11,"8,081.90",0,810.45,0.96074,148.808,8.3334,0.356066,0.004942,0.042215,0.36108,435.65,0.99219,23.7949,3.979729,580.63,1.6694,82.097,26.3551,2.80458,0.1194,227.667,8.67,3.85693,0.42,0.52031,0.2372,0.33666,11.7724,49.48,0.45156,0.203084,0.2372
2018/2/12,"8,903.50",1,865.62,1.0427,161.459,9.1169,0.378675,0.005548,0.045946,0.38479,462.04,1.03935,29.523,4.336967,622.67,1.86959,87.2313,29.0535,2.84361,0.1247,247.338,9.34,4.2514,0.49,0.54536,0.2454,0.37835,12.7282,53.43,0.49004,0.214384,0.2454
2018/2/13,"8,539.20",1,841.38,0.98725,159.267,8.9294,0.364899,0.005694,0.042924,0.39773,447.18,0.97613,33.1874,4.173382,596,1.8103,72.0518,28.6044,2.63554,0.1159,233.538,8.99,3.92124,0.57,0.51517,0.2361,0.34318,12.87,48.68,0.46633,0.206092,0.2361
2018/2/14,"9,476.30",1,919.67,1.12865,212.082,9.8348,0.395507,0.006785,0.046175,0.44813,481.45,1.0879,34.6871,4.950182,676.74,2.02488,90.6571,31.8311,2.71727,0.1224,274.202,10.36,4.46949,0.57,0.54685,0.2731,0.38992,15.5852,52.46,0.50487,0.221465,0.2731
2018/2/15,"10,037.30",1,927.56,1.10821,221.337,9.8692,0.391873,0.007303,0.046649,0.4405,481.49,1.38713,33.8172,6.002831,697.59,2.09597,89.925,31.6529,2.71507,0.1352,295.726,10.87,4.77318,0.56,0.54087,0.2686,0.41373,16.4896,53.48,0.5029,0.222704,0.2686
2018/2/16,"10,178.70",1,937.5,1.11358,228.217,9.8315,0.395991,0.006952,0.05258,0.44756,478.9,1.30003,34.6427,5.729627,694.86,2.08674,88.3795,31.8593,2.90599,0.1319,293.115,11.2,4.82109,0.67,0.51653,0.2716,0.42274,18.0359,53.4,0.50686,0.220272,0.2716
