日期,收盤價,開市,高,低,成交量,更改%,報酬
2021年5月21日,"36,880.50","40,611.20","42,108.30","36,675.00",260.27K,-9.42%,0.104030585
2021年5月20日,"40,717.20","36,706.80","42,425.90","35,010.40",269.75K,10.88%,-0.098157535
2021年5月19日,"36,720.50","42,898.30","43,516.60","30,261.70",607.10K,-14.40%,0.168211217
2021年5月18日,"42,897.30","43,538.50","45,770.90","42,293.90",154.96K,-1.48%,0.0150126
2021年5月17日,"43,541.30","46,424.20","46,545.40","42,201.50",274.76K,-6.21%,0.066261228
2021年5月16日,"46,426.40","46,729.30","49,764.30","43,920.80",180.07K,-0.60%,0.006082746
2021年5月15日,"46,708.80","49,839.10","50,640.90","46,650.20",131.91K,-6.28%,0.067032337
2021年5月14日,"49,839.80","49,704.90","51,459.20","48,874.00",118.84K,0.27%,-0.002712691
2021年5月13日,"49,704.60","49,398.20","51,337.30","46,331.10",236.71K,0.65%,-0.006446083
2021年5月12日,"49,384.20","56,694.50","57,938.50","49,187.00",160.74K,-12.90%,0.148053426
2021年5月11日,"56,695.70","55,846.10","56,871.10","54,550.40",96.47K,1.52%,-0.014935877
2021年5月10日,"55,848.90","58,251.20","59,523.90","53,678.30",142.61K,-4.10%,0.042783296
2021年5月9日,"58,238.30","58,840.60","59,227.00","56,414.40",103.59K,-1.02%,0.010333406
2021年5月8日,"58,840.10","57,330.30","59,471.10","56,972.20",101.27K,2.62%,-0.025542105
2021年5月7日,"57,337.20","56,411.40","58,639.30","55,300.10",110.01K,1.65%,-0.01625123
2021年5月6日,"56,405.40","57,441.00","58,364.90","55,294.50",109.02K,-1.80%,0.018365263
2021年5月5日,"57,441.30","53,872.50","57,936.40","53,872.50",119.82K,6.88%,-0.064410102
2021年5月4日,"53,741.50","57,170.60","57,201.30","53,741.50",132.33K,-6.00%,0.063792414
2021年5月3日,"57,169.80","56,605.80","58,925.10","56,562.40",89.24K,1.00%,-0.009900332
2021年5月2日,"56,603.80","57,807.20","57,868.40","56,110.50",53.61K,-2.08%,0.02125829
2021年5月1日,"57,807.10","57,719.10","58,449.40","57,029.50",63.41K,0.15%,-0.001501546
2021年4月30日,"57,720.30","53,562.30","57,925.60","53,088.70",103.74K,7.77%,-0.072063035
2021年4月29日,"53,560.80","54,838.60","55,173.70","52,400.00",83.90K,-2.34%,0.023909277
2021年4月28日,"54,841.40","55,036.00","56,419.90","53,876.40",86.96K,-0.35%,0.003557531
2021年4月27日,"55,036.50","54,011.10","55,427.80","53,345.00",84.08K,1.88%,-0.018460476
2021年4月26日,"54,020.50","48,963.50","54,320.90","48,815.90",129.76K,10.33%,-0.093610759
2021年4月25日,"48,963.60","50,088.20","50,532.40","47,098.50",59.20K,-2.25%,0.022982379
2021年4月24日,"50,088.90","51,140.80","51,183.00","48,775.20",82.25K,-2.06%,0.021056561
2021年4月23日,"51,143.60","51,707.10","52,099.90","47,659.40",214.46K,-1.13%,0.011455979
2021年4月22日,"51,729.50","53,821.30","55,408.40","50,590.90",168.13K,-3.88%,0.04041601
2021年4月21日,"53,820.20","56,479.50","56,764.40","53,657.60",100.26K,-4.71%,0.049479563
2021年4月20日,"56,483.20","55,645.10","57,054.90","53,422.50",115.49K,1.50%,-0.014820336
2021年4月19日,"55,646.10","56,208.10","57,517.00","54,272.30",117.51K,-1.00%,0.010081569
2021年4月18日,"56,207.10","60,043.20","60,362.10","51,817.60",216.81K,-6.39%,0.068226256
2021年4月17日,"60,041.90","61,358.30","62,509.10","59,672.10",84.08K,-2.18%,0.022281107
2021年4月16日,"61,379.70","63,211.60","63,518.50","60,027.30",136.85K,-2.90%,0.029917057
2021年4月15日,"63,216.00","62,978.60","63,729.10","62,067.50",76.97K,0.37%,-0.003726905
2021年4月14日,"62,980.40","63,544.20","64,778.00","61,366.30",130.43K,-0.88%,0.008899594
2021年4月13日,"63,540.90","59,863.60","63,659.00","59,839.40",126.56K,6.14%,-0.057869813
2021年4月12日,"59,863.80","59,982.10","61,259.90","59,569.20",81.88K,-0.19%,0.001919357
2021年4月11日,"59,978.70","59,772.40","60,667.10","59,250.30",58.20K,0.39%,-0.003839696
2021年4月10日,"59,748.40","58,127.40","61,229.00","57,900.00",103.72K,2.80%,-0.027276044
2021年4月9日,"58,118.70","58,076.80","58,890.90","57,686.00",59.22K,0.07%,-0.000710615
2021年4月8日,"58,077.40","55,948.00","58,136.70","55,721.60",64.78K,3.80%,-0.036652812
2021年4月7日,"55,948.70","57,996.30","58,627.70","55,489.30",110.69K,-3.53%,0.036597812
2021年4月6日,"57,996.30","59,169.00","59,487.00","57,403.30",77.15K,-1.69%,0.017192476
2021年4月5日,"58,993.40","58,202.30","59,205.10","56,842.70",54.13K,1.36%,-0.013450657
2021年4月4日,"58,199.90","57,059.70","58,464.80","56,470.60",57.21K,2.00%,-0.019587663
2021年4月3日,"57,059.90","58,976.80","59,770.50","56,906.70",68.74K,-3.25%,0.033603284
2021年4月2日,"58,977.30","58,718.20","60,134.90","58,466.50",72.37K,0.44%,-0.00439152
2021年4月1日,"58,718.30","58,763.20","59,406.50","58,040.70",69.04K,-0.08%,0.000773183
2021年3月31日,"58,763.70","58,771.40","59,795.60","56,991.60",98.06K,-0.01%,0.000129332
2021年3月30日,"58,771.30","57,614.60","59,366.90","57,077.10",86.21K,2.00%,-0.019654151
2021年3月29日,"57,616.20","55,764.70","58,392.60","54,951.10",107.91K,3.32%,-0.032126381
2021年3月28日,"55,765.20","55,856.90","56,504.20","54,711.30",58.71K,-0.17%,0.001751989
2021年3月27日,"55,862.90","55,033.80","56,531.10","54,010.20",73.87K,1.50%,-0.014800521
2021年3月26日,"55,036.10","51,317.40","55,074.10","51,302.00",100.30K,7.24%,-0.067479345
2021年3月25日,"51,322.30","52,330.00","53,175.40","50,441.30",143.35K,-1.92%,0.01954511
2021年3月24日,"52,325.40","54,309.10","57,169.40","51,725.40",137.91K,-3.91%,0.040651385
2021年3月23日,"54,452.50","54,117.50","55,813.80","52,992.30",84.84K,0.54%,-0.005402874
2021年3月22日,"54,158.30","57,379.30","58,379.90","53,784.20",95.53K,-5.62%,0.059556892
2021年3月21日,"57,383.80","58,097.40","58,583.80","55,583.30",77.47K,-1.22%,0.012365859
2021年3月20日,"58,093.40","58,084.10","59,882.10","57,863.00",67.83K,0.01%,-9.29538E-05
2021年3月19日,"58,088.00","57,645.00","59,448.30","56,305.10",83.98K,0.75%,-0.007436992
2021年3月18日,"57,656.00","58,911.80","60,088.00","57,099.60",102.62K,-2.13%,0.021810393
2021年3月17日,"58,913.50","56,892.90","58,933.20","54,253.20",118.26K,3.56%,-0.034352059
2021年3月16日,"56,889.70","55,619.50","56,889.70","53,342.60",128.51K,1.97%,-0.019307537
2021年3月15日,"55,791.30","59,117.40","60,565.90","55,088.80",117.71K,-5.62%,0.059550503
2021年3月14日,"59,113.70","61,192.70","61,673.70","59,113.70",80.29K,-3.40%,0.035213495
2021年3月13日,"61,195.30","57,267.40","61,795.80","56,118.80",134.64K,6.86%,-0.064223886
2021年3月12日,"57,265.10","57,806.20","58,052.30","55,134.50",116.96K,-0.92%,0.009332036
2021年3月11日,"57,799.50","55,851.20","58,135.00","54,351.80",129.63K,3.49%,-0.033695793
2021年3月10日,"55,851.90","54,882.70","57,328.70","53,073.60",140.96K,1.77%,-0.017419282
2021年3月9日,"54,879.00","52,352.40","54,880.60","51,941.30",114.06K,4.91%,-0.046793856
2021年3月8日,"52,311.00","50,988.90","52,384.90","49,338.10",68.14K,2.61%,-0.025400011
2021年3月7日,"50,982.30","48,899.00","51,434.10","48,890.60",82.91K,4.35%,-0.041714477
2021年3月6日,"48,855.60","48,798.70","49,191.80","47,132.80",66.66K,0.13%,-0.001291561
2021年3月5日,"48,792.50","48,363.60","49,429.40","46,370.10",113.64K,0.75%,-0.00747041
2021年3月4日,"48,428.00","50,388.00","51,757.70","47,521.80",9.56K,-3.90%,0.040619063
2021年3月3日,"50,395.10","48,422.20","52,567.90","48,159.20",44.93K,4.07%,-0.039108961
2021年3月2日,"48,424.20","49,595.60","50,191.90","47,100.60",102.10K,-2.36%,0.024188319
2021年3月1日,"49,595.50","45,160.50","49,774.00","45,008.80",137.52K,9.81%,-0.089352865
2021年2月28日,"45,164.00","46,136.00","46,582.00","43,100.60",135.08K,-2.11%,0.021537065
2021年2月27日,"46,136.70","46,333.10","48,335.10","45,059.40",98.75K,-0.45%,0.004527849
2021年2月26日,"46,345.60","46,928.50","48,413.90","44,248.20",189.41K,-1.24%,0.012577246
2021年2月25日,"46,928.50","49,695.90","52,013.80","46,773.70",83.22K,-5.57%,0.059004656
2021年2月24日,"49,697.50","48,911.10","51,311.80","47,031.70",153.75K,1.61%,-0.015821721
2021年2月23日,"48,911.20","54,114.10","54,115.00","45,093.80",315.07K,-9.61%,0.106327385
2021年2月22日,"54,111.80","57,437.60","57,480.80","48,353.80",244.95K,-5.78%,0.061391416
2021年2月21日,"57,433.80","55,907.60","58,335.10","55,502.70",87.26K,2.70%,-0.02629288
2021年2月20日,"55,923.70","55,922.00","57,523.80","54,124.10",127.85K,0.03%,-0.000305774
2021年2月19日,"55,906.60","51,590.10","56,238.50","50,816.80",139.43K,8.38%,-0.077350438
2021年2月18日,"51,582.20","52,094.50","52,524.00","50,941.60",94.35K,-0.95%,0.009635107
2021年2月17日,"52,079.20","49,161.30","52,577.70","49,018.10",140.03K,5.92%,-0.055866834
2021年2月16日,"49,169.70","47,934.20","50,515.80","47,044.40",141.37K,2.57%,-0.025084554
2021年2月15日,"47,936.30","48,611.10","48,936.50","45,786.10",123.18K,-1.45%,0.014750826
2021年2月14日,"48,643.40","47,172.10","49,695.10","47,051.90",106.50K,3.13%,-0.030316549
2021年2月13日,"47,168.70","47,373.10","48,097.30","46,270.50",89.42K,-0.43%,0.004303701
