證券名稱,簡稱,年月日,外資買賣超(千股),外資買賣超市值(百萬),投信買賣超(千股),投信買賣超市值(百萬),自營買賣超(千股),自營買賣超市值(百萬)
M2600  ,航運業類指數 ,20000104,        -,    23.10,        -,        -,        -,        -
M2500  ,建材營造類指數,20000104,        0,     0.81,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000104,        0,  -227.12,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000104,        -,     1.71,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000104,        -,   -15.18,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000105,        -,   -73.39,        -,        -,        -,        -
M2500  ,建材營造類指數,20000105,        0,   -60.59,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000105,        0,   -70.77,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000105,        -,    -2.51,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000105,        -,    -4.06,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000106,        -,   -15.91,        -,        -,        -,        -
M2500  ,建材營造類指數,20000106,        0,   -34.60,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000106,        0,   233.82,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000106,        -,    -1.72,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000106,        -,    -2.08,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000107,        -,   -36.21,        -,        -,        -,        -
M2500  ,建材營造類指數,20000107,        0,   -39.82,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000107,        0,   356.59,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000107,        -,    -4.42,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000107,        -,    -4.64,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000110,        -,   -15.43,        -,        -,        -,        -
M2500  ,建材營造類指數,20000110,        0,     1.87,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000110,        0,   340.90,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000110,        -,    -0.49,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000110,        -,    69.53,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000111,        -,    24.18,        -,        -,        -,        -
M2500  ,建材營造類指數,20000111,        0,    -2.45,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000111,        0,   340.31,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000111,        -,    -0.73,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000111,        -,    42.57,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000112,        -,   -33.44,        -,        -,        -,        -
M2500  ,建材營造類指數,20000112,        0,     3.19,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000112,        0,   280.94,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000112,        -,     3.47,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000112,        -,   -13.51,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000113,        -,    -9.15,        -,        -,        -,        -
M2500  ,建材營造類指數,20000113,        0,    -8.05,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000113,        0,   273.73,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000113,        -,    -1.35,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000113,        -,    -3.54,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000114,        -,   200.44,        -,        -,        -,        -
M2500  ,建材營造類指數,20000114,        6,    15.51,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000114,        0,    99.89,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000114,        -,     0.68,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000114,        -,    12.41,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000115,        -,   -17.74,        -,        -,        -,        -
M2500  ,建材營造類指數,20000115,        0,     0.00,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000115,        0,   -28.06,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000115,        -,     7.29,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000115,        -,    20.09,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000117,        -,  -101.54,        -,        -,        -,        -
M2500  ,建材營造類指數,20000117,        0,     9.52,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000117,        0,    45.47,        0,     0.00,        0,     0.00
M1800  ,玻璃陶瓷類指數,20000117,        -,     0.96,        -,        -,        -,        -
M1900  ,造紙工業類指數,20000117,        -,    47.39,        -,        -,        -,        -
M2600  ,航運業類指數 ,20000118,        -,   -59.95,        -,        -,        -,        -
M2500  ,建材營造類指數,20000118,        0,    -1.48,        0,     0.00,        0,     0.00
M2000  ,鋼鐵工業類指數,20000118,        0,  -152.17,        0,     0.00,        0,     0.00
