證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元)
M2600  ,航運業類指數 ,20000104,    59.0400,    60.4700,    59.0400,    60.4000,    48998,      789553
M2500  ,建材營造類指數,20000104,   146.3100,   147.8300,   145.8900,   147.0100,    80948,      663013
M2000  ,鋼鐵工業類指數,20000104,    62.0000,    64.2000,    61.2900,    64.2000,   148838,     2897076
M1900  ,造紙工業類指數,20000104,   159.5900,   163.9600,   158.4500,   163.9600,    29928,      490216
M1800  ,玻璃陶瓷類指數,20000104,    40.8100,    41.4600,    40.7100,    41.0600,    10859,      133555
M2600  ,航運業類指數 ,20000105,    60.3600,    60.4500,    59.6900,    60.2900,    73633,     1144628
M2500  ,建材營造類指數,20000105,   146.7300,   152.6300,   146.7300,   152.6300,   106008,      951853
M2000  ,鋼鐵工業類指數,20000105,    62.6200,    63.4000,    61.8300,    62.6100,    90065,     1532282
M1900  ,造紙工業類指數,20000105,   163.7200,   169.7200,   163.0800,   168.2100,    31089,      545259
M1800  ,玻璃陶瓷類指數,20000105,    39.1100,    40.8200,    39.0800,    40.3100,    21112,      176251
M2600  ,航運業類指數 ,20000106,    60.5600,    62.4800,    60.5600,    62.1800,    89927,     1437110
M2500  ,建材營造類指數,20000106,   153.0900,   161.2600,   153.0900,   160.7600,   131728,     1437948
M2000  ,鋼鐵工業類指數,20000106,    63.6200,    65.2600,    63.6200,    64.1400,   173265,     3409011
M1900  ,造紙工業類指數,20000106,   172.9300,   175.0300,   170.5900,   171.3700,    39238,      688800
M1800  ,玻璃陶瓷類指數,20000106,    40.3400,    41.3100,    40.2900,    41.3100,    15867,      145543
M2600  ,航運業類指數 ,20000107,    62.3200,    65.4500,    62.3200,    64.9400,   133122,     2380101
M2500  ,建材營造類指數,20000107,   161.5100,   166.1800,   161.5100,   164.1600,   125882,     1390203
M2000  ,鋼鐵工業類指數,20000107,    65.4200,    65.9500,    64.4800,    64.7500,   146568,     2779039
M1900  ,造紙工業類指數,20000107,   175.0300,   177.4700,   173.7400,   175.3300,    52593,      905240
M1800  ,玻璃陶瓷類指數,20000107,    41.9700,    42.4700,    41.3900,    41.6500,    13179,      136425
M2600  ,航運業類指數 ,20000110,    64.9700,    66.1600,    64.6000,    64.9600,    96618,     1639854
M2500  ,建材營造類指數,20000110,   164.5100,   164.5100,   161.4900,   162.9000,    97766,     1076696
M2000  ,鋼鐵工業類指數,20000110,    67.4700,    67.5400,    66.4800,    66.8900,   154911,     3175231
M1900  ,造紙工業類指數,20000110,   177.8400,   178.3300,   172.8400,   177.1000,    47854,      867948
M1800  ,玻璃陶瓷類指數,20000110,    42.4000,    42.4400,    41.2800,    41.4000,     9012,      100129
M2600  ,航運業類指數 ,20000111,    65.1300,    66.3700,    62.8300,    63.5400,    77967,     1328913
M2500  ,建材營造類指數,20000111,   163.4200,   170.5700,   163.4200,   168.6700,   150047,     1772875
M2000  ,鋼鐵工業類指數,20000111,    67.5200,    67.8200,    65.0600,    65.1700,   140824,     2588673
M1900  ,造紙工業類指數,20000111,   179.6600,   180.9200,   170.3100,   171.4400,    37711,      703906
M1800  ,玻璃陶瓷類指數,20000111,    41.9600,    42.6100,    41.5600,    42.3600,    14615,      169974
M2600  ,航運業類指數 ,20000112,    63.6400,    64.5200,    63.1900,    63.6200,    57801,      975572
M2500  ,建材營造類指數,20000112,   169.4600,   171.5800,   166.5900,   167.3900,   169690,     1534178
M2000  ,鋼鐵工業類指數,20000112,    65.7400,    67.0500,    65.7400,    66.1600,   114414,     1838825
M1900  ,造紙工業類指數,20000112,   171.6800,   172.6400,   169.3200,   170.3600,    21568,      398968
M1800  ,玻璃陶瓷類指數,20000112,    41.9200,    42.4600,    41.4400,    41.4400,     9437,      104715
M2600  ,航運業類指數 ,20000113,    63.7400,    65.0000,    63.7400,    64.5600,    79485,     1306270
M2500  ,建材營造類指數,20000113,   167.9600,   169.8900,   166.4900,   168.9300,   152499,     1381682
M2000  ,鋼鐵工業類指數,20000113,    67.3000,    69.1400,    67.3000,    68.2100,   202952,     3820529
M1900  ,造紙工業類指數,20000113,   174.0300,   179.0500,   173.9400,   176.7600,    46222,      853752
M1800  ,玻璃陶瓷類指數,20000113,    41.7400,    42.4100,    41.4500,    42.1800,     8318,      117834
M2600  ,航運業類指數 ,20000114,    64.6300,    66.5700,    64.6300,    65.2400,   143810,     2468918
M2500  ,建材營造類指數,20000114,   169.5600,   171.0700,   167.8500,   168.8700,   139012,     1209506
M2000  ,鋼鐵工業類指數,20000114,    69.1500,    69.2100,    66.6000,    66.6800,   136113,     2487634
M1900  ,造紙工業類指數,20000114,   179.5600,   181.4000,   173.9900,   175.4200,    42678,      855213
M1800  ,玻璃陶瓷類指數,20000114,    42.5400,    42.5400,    40.8400,    41.3600,     7036,       84446
M2600  ,航運業類指數 ,20000115,    65.2900,    65.7100,    64.3600,    64.9900,   115561,     1969056
