Date,BTC,trend,ADA,ALGO,ATOM,BAT,BCH,BNB,ZIL,ETH,ICX,IOTA,LINK,LTC,NEO,QTUM,TRX,VET,XLM,XRP,ZEC,ZRX
2019/7/31,"10,080.50",1,0.06009,0.568,3.649,0.2469,317.42,27.73,0.01094,218.42,0.2663,0.29,2.21,45.4,11.724,3.058,0.0224,0.0056,0.08385,0.31962,68.1,0.2243
2019/8/1,"10,374.10",1,0.05854,0.562,3.538,0.2364,305.28,28.71,0.01031,216.8,0.2503,0.2874,2.16,44.75,11.862,3.024,0.02212,0.00541,0.08273,0.3155,67.61,0.2195
2019/8/2,"10,521.00",1,0.05731,0.808,3.647,0.2361,310.48,28.09,0.01025,217.69,0.2486,0.2875,2.43,45.12,11.66,3.003,0.02172,0.005481,0.08192,0.31168,66.41,0.2157
2019/8/3,"10,814.10",1,0.05774,0.744,3.69,0.2348,305.8,27.74,0.01018,222.06,0.2401,0.2832,2.41,45.61,12.117,3.043,0.02183,0.00548,0.08236,0.31592,65.15,0.2152
2019/8/4,"10,926.50",1,0.05605,0.705,3.592,0.2359,318.14,27.38,0.01005,221.81,0.2379,0.2837,2.51,47.05,11.88,3.017,0.02229,0.005317,0.08183,0.31817,65.73,0.2115
2019/8/5,"11,815.00",1,0.05642,0.792,3.767,0.2333,328.55,27.97,0.00988,233.53,0.2392,0.2911,2.46,48.45,12.014,3.094,0.0229,0.00523,0.08235,0.32218,66.71,0.2124
2019/8/6,"11,483.30",1,0.05352,0.701,3.557,0.2171,328.84,27.67,0.00925,226.28,0.2312,0.2787,2.47,47.87,11.358,2.932,0.02173,0.004873,0.0784,0.3116,62.47,0.1987
2019/8/7,"11,962.90",1,0.05196,0.691,3.493,0.2217,327.85,29.66,0.00885,225.94,0.2186,0.2759,2.38,45.82,11.304,2.913,0.02163,0.005014,0.07859,0.31095,62.18,0.1973
2019/8/8,"12,013.40",1,0.05204,0.727,3.279,0.2098,335.57,31.23,0.00843,221.52,0.2164,0.2756,2.28,52.54,10.89,2.807,0.02201,0.004992,0.07701,0.30837,62.56,0.1884
2019/8/9,"11,880.00",1,0.04769,0.811,3.146,0.1992,335.19,29.81,0.00796,210.58,0.1945,0.2545,2.17,55.34,10.377,2.631,0.01982,0.004906,0.07183,0.29646,58.77,0.1883
2019/8/10,"11,310.20",1,0.05195,0.809,3.349,0.2024,347.36,29.65,0.00835,206.49,0.2023,0.2607,2.33,56.73,10.605,2.657,0.02047,0.00491,0.07375,0.29919,56.71,0.192
2019/8/11,"11,587.50",1,0.05497,0.819,3.547,0.2071,336.02,30.3,0.00896,216.74,0.205,0.2694,2.42,55.62,11.136,2.774,0.02074,0.005118,0.07818,0.30349,59.91,0.1937
2019/8/12,"11,387.20",1,0.05304,0.803,3.341,0.2038,338.43,30.17,0.00881,211.47,0.201,0.2593,2.39,57.87,10.691,2.706,0.02069,0.005101,0.07538,0.30046,56.85,0.1879
2019/8/13,"10,886.60",1,0.05262,0.809,3.258,0.1972,334.09,29.42,0.00879,209.22,0.2002,0.2564,2.42,56.59,10.494,2.642,0.02049,0.004916,0.07442,0.29787,55.45,0.1814
2019/8/14,"10,054.60",1,0.04715,0.717,2.857,0.1682,315.09,27.01,0.00762,187.11,0.1862,0.2322,2.28,54.82,9.427,2.347,0.01778,0.004628,0.06922,0.26338,50.56,0.1624
2019/8/15,"10,307.10",1,0.04733,0.71,2.898,0.187,316.1,28.11,0.00749,188.16,0.2011,0.2428,2.42,56.6,9.897,2.376,0.01752,0.00458,0.07019,0.26408,50.57,0.1736
